video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=JBCQJ7AIfxs&pp=ygUEZ2F6YQ%3D%3D,/@BBCNews,BBC News,Israel-Gaza: Aid package delivered to people in Gaza | BBC News,25K,3 days,Qatar has said a consignment of humanitarian aid has entered Gaza. It's the first to arrive as part of an agreement between Israel ...,2024-01-22 18:52:23.397648
/watch?v=vHnsx8_6CEI&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Gaza residents told to flee or be shot: Israeli forces push refugees out of school,32K,1 day,Many Palestinians in the Gaza Strip have been displaced more than once during Israel's war. Some of them say Israeli soldiers ...,2024-01-22 18:52:23.400474
/watch?v=ZI5CCnL-ZZE&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Journalist questions bombing of Gaza university | Al Jazeera Newsfeed,103K,2 days,It's not troubling to you?” A reporter questions the US State Department about Israeli justification for destroying Israa University in ...,2024-01-22 18:52:23.403194
/shorts/HRuzUOEWxkY,/@DemocracyNow,Democracy Now!,South African lawyer makes case against Israel for genocide in Gaza #ICJ,371K,11 days,Adila Hassim is a South African lawyer presenting the country's genocide case against Israel at the International Court of Justice.,2024-01-22 18:52:23.406111
/watch?v=PImX4r2MRNc&pp=ygUEZ2F6YQ%3D%3D,/@globalnews,Global News,"Israel-Gaza: Who is Marwan Barghouti, the ""Palestinian Mandela""?",415,2 hours,"Since 2005, Palestinians in the West Bank have known no other leader than Mahmoud Abbas and he is not well regarded. Widely ...",2024-01-22 18:52:23.408772
/shorts/C2kHqawTrdY,/@NBCNews,NBC News,Video shows Palestinian artist playing with children a day before he was killed in Gaza,740K,3 months,A Palestinian artist is shown playing with children in #Gaza to raise their spirits less than a day before he was killed in a hospital ...,2024-01-22 18:52:23.411618
/watch?v=grKsZU2T3Oc&pp=ygUEZ2F6YQ%3D%3D,/@guardiannews,Guardian News,Gaza City before and after: footage shows destruction wreaked by war,409K,2 months,"Apartment blocks, shops and streets lie in ruins amid a humanitarian catastrophe that has displaced at least 1.5 million people ...",2024-01-22 18:52:23.414253
/watch?v=yX5CGTpoYqg&pp=ygUEZ2F6YQ%3D%3D,/@BBCNews,BBC News,Israel-Gaza: Netanyahu publicly rejects US push for Palestinian state | BBC News,113K,3 days,Israeli Prime Minister Benjamin Netanyahu says he has told the United States he opposes the establishment of a Palestinian state ...,2024-01-22 18:52:23.416899
/watch?v=_mPBVTIf4nM&pp=ygUEZ2F6YQ%3D%3D,/@France24_en,FRANCE 24 English,Israel bombs Gaza as disagreements with US simmer • FRANCE 24 English,20K,3 days,Israel bombarded southern Gaza on Friday after it publicly sparred with its main ally the United States over the possibility of a ...,2024-01-22 18:52:23.419772
/shorts/RZV_eQybHCA,/@aljazeeraenglish,Al Jazeera English,Israeli singer: 'We're finishing off Gaza' | AJ #shorts,1.5M,2 months,"Israeli pop singer Narkis is seen singing with soldiers and calling to 'finish off Gaza', as Israel continues bombarding the besieged ...",2024-01-22 18:52:23.422625
/watch?v=gEgl-d41vtU&pp=ygUEZ2F6YQ%3D%3D,/@awakeningrecords,Awakening Music,Awakening Music - Songs for Gaza 🇵🇸,272K,1 month,Enjoy Awakening Music's new playlist “Songs for Gaza” featuring some of the best songs by all your favorite artists. Subscribe to ...,2024-01-22 18:52:23.426324
/watch?v=SUxX0VU1DAY&pp=ygUEZ2F6YQ%3D%3D,/@AssociatedPress,Associated Press,"Israel’s Netanyahu rejects any Palestinian sovereignty in post-war Gaza, rebuffing Biden",49K,7 hours,Israeli Prime Minister Benjamin Netanyahu released a video statement on Sunday in which he said he stressed in his ...,2024-01-22 18:52:23.428995
/watch?v=yI_n32g2R1k&pp=ygUEZ2F6YQ%3D%3D,/@TheTimes,The Times and The Sunday Times,Relatives of Gaza hostages storm Knesset in Jerusalem,701,1 hour,A group of relatives of Israelis held hostage by Hamas militants stormed a parliamentary committee session in Jerusalem on ...,2024-01-22 18:52:23.431781
/watch?v=-sSpmqFFgUI&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,No let-up in Israel’s bombing of Gaza,46K,2 days,There hasn't been any let-up in the intense bombing across the Gaza Strip and it looks like it's all started again in the north where ...,2024-01-22 18:52:23.434517
/watch?v=Au5dVTkFVL0&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Gaza war crimes allegations: Testimonies heard about civilian executions.,13K,3 days,Human rights organisations who are gathering testimonies from Palestinians in Gaza say there is increasing evidence of war ...,2024-01-22 18:52:23.437249
/shorts/6l00ddq-Ty4,/@ajplus,AJ+,Listen to this UNICEF official speak out about conditions in Gaza,835K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-22 18:52:23.439995
/watch?v=eVCUTnhokXo&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Piers Morgan: ‘Israeli bombing of Gaza eight times more than six years of US bombing in Iraq’,83K,6 days,"During a monologue on his show Uncensored on Monday, Piers Morgan highlighted how Israel has dropped eight times more ...",2024-01-22 18:52:23.442775
/shorts/uOvP3J3QBtU,/@trtworld,TRT World,Rabbi Weiss denounces Israel’s atrocities in Palestine’s Gaza,398K,1 month,We cry and hurt with the people of Gaza and Palestine” American Rabbi Yisroel Dovid Weiss decried the Israeli state's ongoing ...,2024-01-22 18:52:23.445620
/watch?v=gpzrZ5uSK8o&pp=ygUEZ2F6YQ%3D%3D,/@TheTimes,The Times and The Sunday Times,"Most of Hamas destroyed in Gaza, says Israel",17K,3 days,"Israel has destroyed around two thirds of Hamas' fighting regiments in Gaza, Israeli Prime Minister Benjamin Netanyahu said on ...",2024-01-22 18:52:23.448354
